,county,restaurant,id,lat,lng,city,category name,category plural name,category short name,rating,population,populationdensity,Per capita income,Median household income,Median family income,Registered voters,Democratic,Republican,D-R spread,Other,No party preference,FIPS,County Seat,Land Area (km2),Land Area (mi2),Water Area (km2),Water Area (mi2),Total Area (km2),Total Area (mi2),centroid_latitude,centroid_longitude,price_grade,uniqueness,diversity,countywide_average_rating
0,Alameda,Peet's Coffee & Tea,49c0397bf964a52055551fe3,37.841617,-122.293626,Emeryville,Coffee Shop,Coffee Shops,Coffee Shop,7.9,1559308,2109.8,36439,73775,90822,54.6,56.4,14.1,42.3,12.1,19.5,6001,Oakland,1914.046,739.0169999999999,213.185,82.311,2127.231,821.328,37.648081,-121.91330400000001,Moderate,373.98704602213445,0.7487302832248429,8.425000000000004
1,Alameda,Drake's Dealership,55a6eee8498e39b5dd60f45a,37.8128252267716,-122.26674184918735,Oakland,Beer Garden,Beer Gardens,Beer Garden,9.4,1559308,2109.8,36439,73775,90822,54.6,56.4,14.1,42.3,12.1,19.5,6001,Oakland,1914.046,739.0169999999999,213.185,82.311,2127.231,821.328,37.648081,-121.91330400000001,Moderate,373.98704602213445,0.7487302832248429,8.425000000000004
2,Alameda,Nyum Bai,5a8b2bf691eaca3c3cb196cc,37.77618320102944,-122.22431526439176,Oakland,Cambodian Restaurant,Cambodian Restaurants,Cambodian,8.9,1559308,2109.8,36439,73775,90822,54.6,56.4,14.1,42.3,12.1,19.5,6001,Oakland,1914.046,739.0169999999999,213.185,82.311,2127.231,821.328,37.648081,-121.91330400000001,,373.98704602213445,0.7487302832248429,8.425000000000004
3,Alameda,Shan Dong,4a22d464f964a520927d1fe3,37.80050024323571,-122.27004558577991,Oakland,Chinese Restaurant,Chinese Restaurants,Chinese,9.0,1559308,2109.8,36439,73775,90822,54.6,56.4,14.1,42.3,12.1,19.5,6001,Oakland,1914.046,739.0169999999999,213.185,82.311,2127.231,821.328,37.648081,-121.91330400000001,Moderate,373.98704602213445,0.7487302832248429,8.425000000000004
4,Alameda,Xolo,4d8982c1b799a35d13059863,37.808422,-122.26973000000001,Oakland,Mexican Restaurant,Mexican Restaurants,Mexican,8.5,1559308,2109.8,36439,73775,90822,54.6,56.4,14.1,42.3,12.1,19.5,6001,Oakland,1914.046,739.0169999999999,213.185,82.311,2127.231,821.328,37.648081,-121.91330400000001,Moderate,373.98704602213445,0.7487302832248429,8.425000000000004
5,Alameda,Blue Bottle Coffee,517aba92498ea18ae773f544,37.83113,-122.254186,Oakland,Coffee Shop,Coffee Shops,Coffee Shop,9.0,1559308,2109.8,36439,73775,90822,54.6,56.4,14.1,42.3,12.1,19.5,6001,Oakland,1914.046,739.0169999999999,213.185,82.311,2127.231,821.328,37.648081,-121.91330400000001,Cheap,373.98704602213445,0.7487302832248429,8.425000000000004
6,Alameda,La Christa's Cafe,541647bb498e05d0b8de232a,37.81460283581848,-122.26852632585705,Oakland,Southern / Soul Food Restaurant,Southern / Soul Food Restaurants,Southern / Soul,,1559308,2109.8,36439,73775,90822,54.6,56.4,14.1,42.3,12.1,19.5,6001,Oakland,1914.046,739.0169999999999,213.185,82.311,2127.231,821.328,37.648081,-121.91330400000001,Cheap,373.98704602213445,0.7487302832248429,8.425000000000004
7,Alameda,The Trappist,4792385cf964a520524d1fe3,37.800497559962956,-122.27420032024384,Oakland,Beer Bar,Beer Bars,Beer Bar,9.2,1559308,2109.8,36439,73775,90822,54.6,56.4,14.1,42.3,12.1,19.5,6001,Oakland,1914.046,739.0169999999999,213.185,82.311,2127.231,821.328,37.648081,-121.91330400000001,Moderate,373.98704602213445,0.7487302832248429,8.425000000000004
8,Alameda,Arthur Mac's Tap & Snack,58c978cc5eef1170c1c210ba,37.82979364966446,-122.26819187474287,Oakland,Beer Garden,Beer Gardens,Beer Garden,9.0,1559308,2109.8,36439,73775,90822,54.6,56.4,14.1,42.3,12.1,19.5,6001,Oakland,1914.046,739.0169999999999,213.185,82.311,2127.231,821.328,37.648081,-121.91330400000001,Cheap,373.98704602213445,0.7487302832248429,8.425000000000004
9,Alameda,Tierra Mia Coffee,52df0e4011d219aa8d0d0e11,37.809164053865864,-122.26823870068337,Oakland,Coffee Shop,Coffee Shops,Coffee Shop,7.7,1559308,2109.8,36439,73775,90822,54.6,56.4,14.1,42.3,12.1,19.5,6001,Oakland,1914.046,739.0169999999999,213.185,82.311,2127.231,821.328,37.648081,-121.91330400000001,Cheap,373.98704602213445,0.7487302832248429,8.425000000000004
